	App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
0	Photo Editor & Candy Camera & Grid & ScrapBook	1	4.1	159.0	19456.0	10000.0	1	0.0	1	1	325.0	1.0.0	4.0.3 and up
1	Coloring book moana	1	3.9	967.0	14336.0	500000.0	1	0.0	1	0	317.0	2.0.0	4.0.3 and up
2	U Launcher Lite – FREE Live Cool Themes Hide Apps	1	4.7	87510.0	8908.8	5000000.0	1	0.0	1	1	119.0	1.2.4	4.0.3 and up
3	Sketch - Draw & Paint	1	4.5	215644.0	25600.0	50000000.0	1	0.0	2	1	173.0	Varies with device	4.2 and up
4	Pixel Draw - Number Art Coloring Book	1	4.3	967.0	2867.2	100000.0	1	0.0	1	0	161.0	1.1	4.4 and up
5	Paper flowers instructions	1	4.4	167.0	5734.4	50000.0	1	0.0	1	1	612.0	1.0	2.3 and up
6	Smoke Effect Photo Maker - Smoke Editor	1	3.8	178.0	19456.0	50000.0	1	0.0	1	1	216.0	1.1	4.0.3 and up
7	Infinite Painter	1	4.1	36815.0	29696.0	1000000.0	1	0.0	1	1	167.0	6.1.61.1	4.2 and up
8	Garden Coloring Book	1	4.4	13791.0	33792.0	1000000.0	1	0.0	1	1	434.0	2.9.2	3.0 and up
9	Kids Paint Free - Drawing Fun	1	4.7	121.0	3174.4	10000.0	1	0.0	1	0	148.0	2.8	4.0.3 and up
10	Text on Photo - Fonteee	1	4.4	13880.0	28672.0	1000000.0	1	0.0	1	1	397.0	1.0.4	4.1 and up
11	Name Art Photo Editor - Focus n Filters	1	4.4	8788.0	12288.0	1000000.0	1	0.0	1	1	120.0	1.0.15	4.0 and up
12	Tattoo Name On My Photo Editor	1	4.2	44829.0	20480.0	10000000.0	1	0.0	2	1	240.0	3.8	4.1 and up
13	Mandala Coloring Book	1	4.6	4326.0	21504.0	100000.0	1	0.0	1	1	155.0	1.0.4	4.4 and up
14	3D Color Pixel by Number - Sandbox Art Coloring	1	4.4	1518.0	37888.0	100000.0	1	0.0	1	1	117.0	1.2.3	2.3 and up
16	Photo Designer - Write your name with shapes	1	4.7	3632.0	5632.0	500000.0	1	0.0	1	1	120.0	3.1	4.1 and up
17	350 Diy Room Decor Ideas	1	4.5	27.0	17408.0	10000.0	1	0.0	1	1	386.0	1.0	2.3 and up
18	FlipaClip - Cartoon animation	1	4.3	194216.0	39936.0	5000000.0	1	0.0	1	1	117.0	2.2.5	4.0.3 and up
19	ibis Paint X	1	4.6	224399.0	31744.0	10000000.0	1	0.0	1	1	121.0	5.5.4	4.1 and up
20	Logo Maker - Small Business	1	4.0	450.0	14336.0	100000.0	1	0.0	1	1	222.0	4.0	4.1 and up
21	Boys Photo Editor - Six Pack & Men's Suit	1	4.1	654.0	12288.0	100000.0	1	0.0	1	1	253.0	1.1	4.0.3 and up
22	Superheroes Wallpapers | 4K Backgrounds	1	4.7	7699.0	4300.8	500000.0	1	0.0	3	1	139.0	2.2.6.2	4.0.3 and up
