index	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated
0	0.001	0.040999999999999995	1.59e-07	0.0019456	1e-07	0.01	0.0	0.01	0.001	0.00325
1	0.001	0.039	9.67e-07	0.0014336	5e-06	0.01	0.0	0.01	0.0	0.00317
2	0.001	0.047	8.751e-05	0.0008908799999999999	5e-05	0.01	0.0	0.01	0.001	0.00119
3	0.001	0.045	0.000215644	0.00256	0.0005	0.01	0.0	0.02	0.001	0.00173
4	0.001	0.043	9.67e-07	0.00028671999999999997	1e-06	0.01	0.0	0.01	0.0	0.00161
5	0.001	0.044000000000000004	1.67e-07	0.0005734399999999999	5e-07	0.01	0.0	0.01	0.001	0.00612
6	0.001	0.038	1.78e-07	0.0019456	5e-07	0.01	0.0	0.01	0.001	0.00216
7	0.001	0.040999999999999995	3.6815e-05	0.0029696	1e-05	0.01	0.0	0.01	0.001	0.00167
8	0.001	0.044000000000000004	1.3791e-05	0.0033792	1e-05	0.01	0.0	0.01	0.001	0.00434
9	0.001	0.047	1.21e-07	0.00031744	1e-07	0.01	0.0	0.01	0.0	0.00148
10	0.001	0.044000000000000004	1.388e-05	0.0028672	1e-05	0.01	0.0	0.01	0.001	0.00397
11	0.001	0.044000000000000004	8.788e-06	0.0012288	1e-05	0.01	0.0	0.01	0.001	0.0012
12	0.001	0.042	4.4829e-05	0.002048	0.0001	0.01	0.0	0.02	0.001	0.0024
13	0.001	0.046	4.326e-06	0.0021504	1e-06	0.01	0.0	0.01	0.001	0.00155
14	0.001	0.044000000000000004	1.518e-06	0.0037888	1e-06	0.01	0.0	0.01	0.001	0.00117
16	0.001	0.047	3.632e-06	0.0005632	5e-06	0.01	0.0	0.01	0.001	0.0012
17	0.001	0.045	2.7e-08	0.0017408	1e-07	0.01	0.0	0.01	0.001	0.00386
18	0.001	0.043	0.000194216	0.0039936	5e-05	0.01	0.0	0.01	0.001	0.00117
19	0.001	0.046	0.000224399	0.0031744	0.0001	0.01	0.0	0.01	0.001	0.00121
20	0.001	0.04	4.5e-07	0.0014336	1e-06	0.01	0.0	0.01	0.001	0.00222
21	0.001	0.040999999999999995	6.54e-07	0.0012288	1e-06	0.01	0.0	0.01	0.001	0.00253
22	0.001	0.047	7.699e-06	0.00043008	5e-06	0.01	0.0	0.03	0.001	0.00139
24	0.001	0.047	1.18e-07	0.0023552	5e-07	0.01	0.0	0.01	0.001	0.00144
25	0.001	0.048	1.92e-07	0.0006144	1e-07	0.01	0.0	0.01	0.001	0.00217
26	0.001	0.047	2.026e-05	0.00256	5e-06	0.01	0.0	0.01	0.0	0.00413
27	0.001	0.040999999999999995	2.03e-07	0.00062464	1e-06	0.01	0.0	0.01	0.001	0.00252
28	0.001	0.039	1.36e-07	0.00047104	1e-07	0.01	0.0	0.01	0.001	0.00139
29	0.001	0.040999999999999995	2.23e-07	0.00043008	1e-06	0.01	0.0	0.01	0.001	0.00463
30	0.001	0.042	1.12e-06	0.00094208	1e-06	0.01	0.0	0.01	0.001	0.00139
31	0.001	0.040999999999999995	2.27e-07	0.00053248	5e-07	0.01	0.0	0.01	0.001	0.00181
