index;words
0; 
1;на
2;работ
3;был
4;полн
5;пиддес
6;и
7;так
8;кажд
9;закрыт
10;месяц
11;я
12;же
13;свихн
14;Коллег
15;сид
16;руб
17;в
18;а
19;из
20;за
21;долба
22;винд
23;не
24;мог
25;как
26;говор
27;обещан
28;три
29;год
30;ждут
31;Жела
32;хорош
33;пол
34;та
35;удачн
36;посадк
37;буд
38;очен
39;сильн
40;скуча
41;Обнов
42;то
43;леш
44;тепер
45;работа
46;простоплеер
47;Кот
48;нка
49;вчер
50;носик
51;разб
52;плака
53;расстраива
54;Зашл
55;он
56;опя
57;затихар
58;прям
59;физическ
60;страда
61;когд
62;долг
63;молч
64;вообщ
65;бол
66;выздоравлива
67;микрофраз
68;уч
69;срат
70;кирпич
71;режим
72;нон
73;стоп
74;хоч
75;с
76;тоб
77;помир
78;но
79;сук
80;горд
81;никогд
82;эт
83;сдела
84;теб
85;ебет
86;у
87;мен
88;фотк
89;про
90;тво
91;ты
92;хот
93;знаеш
94;ТП
95;выгляд
96;Блин
97;нача
98;снит
99;сны
100;Не
101;почт
102;снил
103;А
104;можн
105;сказа
106;ден
107;Мне
108;нрав
109;На
110;мест
111;бы
112;снача
113;телек
114;куп
115;плох
116;бо
117;знач
118;где
119;В
120;мск
121;бгр
122;хотел
123;электромобил
124;Скор
125;увиж
126;зелен
127;глаз
128;последн
129;раз
130;Вот
131;да
132;докат
133;по
134;оранжевел
135;патриот
136;Чо
137;деет
138;Бабк
139;объедин
140;КПРФ
141;Навальн
142;Ну
143;уж
144;ночи
145;нич
146;сделалаллалалалалалалвцмдэмппдпктцдкиицкп
147;рад
148;им
149;разобьеш
150;сердц
151;их
152;жалк
153;епт
154;мне
155;оч
156;Влад
157;всех
158;остальн
159;нет
160;Сегодн
161;нехорош
162;Телефон
163;наушник
164;опозна
165;блог
166;умудр
167;шаблон
168;слома
169;ещ
170;дума
171;мо
172;век
173;росс
174;поднимет
175;со
176;дна
177;одн
178;напомина
179;дом
180;Путин
181;дела
182;реалит
183;шо
184;ебаааа
185;сейчас
186;модул
187;будет
188;региональн
189;экономик
190;оооуу
191;анфоллов
192;чувак
193;вот
194;встреча
195;зим
196;ну
197;туд
198;медвед
199;прикрепля
200;чорт
201;сход
202;кин
203;придет
204;любова
205;фильм
206;уг
207;качеств
208;комп
209;Так
210;себ
211;чувствова
212;давн
213;Как
214;пониз
215;температур
216;ноут
217;Снаруж
218;что
219;постоя
220;раска
221;нны
222;упад
223;стул
224;услов
225;будут
226;спартанск
227;Хотел
228;мам
229;сюрприз
230;всегд
231;все
232;навернул
233;блин
234;сутк
235;ег
236;жду
237;друз
238;обща
239;котор
240;ежедневн
241;вид
242;судьб
243;поход
244;попаст
245;к
246;мастер
247;У
248;берег
249;Кост
250;Рик
251;вод
252;рыб
253;выход
254;черепах
255;вес
256;до
257;кг
258;Но
259;видел
260;сам
261;смешн
262;лисичек
263;тибетск
264;Это
265;фотошоп
266;о
267;О
268;Потеря
269;креаплен
270;от
271;борд
272;Я
273;снима
274;Устал
275;семинар
276;Опят
277;прост
278;Все
279;гуля
280;ката
281;тус
282;Что
283;невезен
284;перв
285;деньг
286;пойдут
287;красн
288;мокасин
289;пот
290;ремен
291;гермес
292;приор
293;умерет
294;Мясорубк
295;пожира
296;налогоплательщик
297;перенош
298;соционик
299;адов
300;бред
301;один
302;помеша
303;Пор
304;урок
305;Лермонтов
306;наверн
307;действител
308;там
309;заказ
310;скидк
311;побыстр
312;попробыва
313;сырн
314;суп
315;обожгл
316;ве
317;язык
318;ни
319;чег
320;чувств
321;Внезапн
322;наста
323;лет
324;Дом
325;обо
326;кран
327;теч
328;т
329;холодн
330;кто
331;СМИ
332;тог
333;ссылк
334;поисковик
335;халв
336;захотел
337;ДА
338;ВОСПАЛЕНИЕ
339;ЛЕГКИХ
340;ПОЧТИ
341;НЕДЕЛИ
342;БОЛЬНИЦЕ
343;ЛЕЖАЛА
344;И
345;ТВИ
346;ТОЖ
347;НИ
348;ЗАХОДИЛА
349;Кажд
350;смс
351;доз
352;мно
353;происход
354;ужел
355;выхадныеееееееееееееееееее
356;правд
357;пролет
358;будт
359;Задолба
360;дик
361;резк
362;перепад
363;настроен
364;Угада
365;чья
366;школ
367;сегодн
368;Прич
369;единствен
370;област
371;рабоч
372;настро
373;готов
374;Конечн
375;одеял
376;куд
377;Заболел
378;медстраховк
379;жил
380;Наверн
381;паспорт
382;отобра
383;взам
384;дал
385;застав
386;труд
387;шк
388;созда
389;групп
390;ВК
391;новост
392;Ито
393;какойт
394;злоебуч
395;анон
396;дает
397;жизн
398;иб
399;выда
400;тайн
401;убра
402;поиск
403;персонаж
404;ли
405;паник
406;вед
407;удобн
408;скайп
409;идут
410;стесня
411;блянуок
412;Выпил
413;сво
414;Арча
415;разработчик
416;отказа
417;поддержк
418;жал
419;офиген
420;идиотск
421;твиттер
422;глюч
423;есл
424;ниж
425;рост
426;даж
427;чем
428;губин
429;Бедн
430;Тво
431;физик
432;законч
433;раньш
434;доед
435;б
436;забра
437;Спасиб
438;тем
439;дан
440;момент
441;поддержива
442;проблем
443;спасиб
444;макарошк
445;отвар
446;запеч
447;лук
448;морковк
449;майонез
450;чеснок
451;всяк
452;приправк
453;ОМНОМНОМ
454;сыр
455;завтр
456;хим
457;диктант
458;нужн
459;подготов
460;Сейчас
461;кроватк
462;спат
463;дофигищ
464;дел
465;обязательн
466;начина
467;Может
468;пойд
469;м
470;провод
471;мар
472;ра
473;убог
474;магазин
475;убежда
476;Еще
477;час
478;Зря
479;тороп
480;равн
481;прийдет
482;выходн
483;скольк
484;баран
485;вслед
486;ним
487;нес
488;тся
489;Пойд
490;времен
491;меньш
492;разочаровательн
493;сегодняшн
494;математик
495;вынесл
496;мозг
497;Интересн
498;сдава
499;математическ
500;анализ
501;препод
502;тварин
503;амазон
504;Черт
505;стремн
506;олимпиад
507;сидет
508;вам
509;понрав
510;Ташкент
511;Жал
512;узна
513;об
514;посл
515;ваш
516;уход
517;кот
518;межд
519;проч
520;может
521;случ
522;сердечн
523;приступ
524;ситуац
525;пуга
526;знает
527;декабр
528;без
529;снежка
530;Гг
531;выньд
532;ун
533;сюд
534;ставл
535;хрюш
536;Уже
537;пошел
538;Ларр
539;Г
540;чтоб
541;тут
542;Л
543;тож
544;Скуча
545;ум
546;понима
547;вс
548;поздн
549;разговор
550;Кирилл
551;нечт
552;ах
553;Мо
554;маленьк
555;Никит
556;люб
557;помн
558;Люб
559;скорб
560;живот
561;поко
562;желоч
563;вылива
564;Иду
565;задан
566;практик
567;пережива
568;Тольк
569;упаст
570;стол
571;пок
572;перевешива
573;ы
574;гирлянд
575;Больн
576;уб
577;е
578;нибуд
579;любл
580;Бол
581;прош
582;лекарств
583;идет
584;реш
585;заб
586;поздрав
587;Пришл
588;кудряв
589;мля
590;зна
591;чив
592;ска
593;пятниц
594;суббот
595;дни
596;мы
597;вмест
598;любим
599;бедолаг
600;Пуст
601;Их
602;болеют
603;ТГП
604;вопрос
605;прекраща
606;голов
607;днем
608;почувствова
609;одиночеств
610;Паш
611;уеха
612;планет
613;оста
614;Вечеринк
615;привет
616;насра
617;Поговор
618;Саш
619;сраз
620;хочет
621;траха
622;представля
623;сложн
624;соб
625;жит
626;толк
627;правильн
628;игра
629;мног
630;барэ
631;объяснен
632;жив
633;Росс
634;Здава
635;доздава
636;перездава
637;хуууф
638;це
639;вже
640;над
641;ло
642;ма
643;й
644;сил
645;твор
646;мир
647;Новост
648;сплош
649;педофил
650;печальн
651;возмутительн
652;проверя
653;сен
654;больничк
655;Чувств
656;закроют
657;ветер
658;снег
659;выйт
660;реша
661;смеют
662;Нет
663;книг
664;одолева
665;лен
666;фак
667;приложен
668;для
669;андрод
670;Мен
671;никт
672;очкарик
673;оооочен
674;уста
675;тянул
676;вечност
677;гитар
678;слодн
679;коледж
680;ревел
681;Ох
682;парн
683;улиц
684;радост
685;маг
686;посвящен
687;химик
688;кхм
689;свят
690;печенюшк
691;детск
692;девиз
693;умира
694;попа
695;золот
696;лиг
697;х
698;При
699;том
700;бронзов
701;союзник
702;убьют
703;Узнают
704;айпишник
705;п
706;Мысл
707;желан
708;повод
709;покида
710;бумаг
711;пиш
712;взял
713;утр
714;наеха
715;Сиж
716;жуйк
717;чита
718;Звонок
719;отдел
720;Поднима
721;трубк
722;разговарива
723;лож
724;Эх
725;Куп
726;меллер
727;внезапн
728;Ебааа
729;зуб
730;Над
731;усп
732;спринт
733;косяч
734;Мы
735;статус
736;обозрен
737;тысяч
738;зачаст
739;всег
740;лиш
741;человек
742;замет
743;стат
744;называ
745;смысл
746;скурв
747;ман
748;Испорт
749;иногд
750;кажет
751;хочеш
752;жирн
753;коров
754;Хот
755;тольк
756;лучш
757;Подар
758;тыщ
759;хвата
760;ъ
761;Ужастн
762;увидет
763;ил
764;хотяб
765;списа
766;сним
767;возможн
768;половин
769;Остров
770;скор
771;печал
772;забода
773;Даж
774;Хаус
775;смотрет
776;хурда
777;л
778;Мин
779;лээлээшдээ
780;оказыва
781;бел
782;плен
783;уокер
784;знал
785;попрос
786;ова
787;орбит
788;добра
789;цивилизац
790;горяч
791;Первоначальн
792;замысел
793;перестановк
794;комнат
795;увенча
796;успех
797;совершен
798;лев
799;фактор
800;С
801;крив
802;Х
803;Учител
804;матан
805;самооценк
806;вромайда
807;Вы
808;идиот
809;хохл
810;Европ
811;счита
812;вас
813;неполноцен
814;чернаяпятниц
815;Мал
816;потеря
817;нег
818;сережк
819;нашел
820;два
821;джуйк
822;косячн
823;успел
824;похихика
825;мяс
826;борщ
827;полож
828;Плох
829;улыба
830;ахах
831;призентац
832;парен
833;параллел
834;ем
835;нравл
836;видим
837;нормальн
838;поведен
839;полиц
840;стран
841;полица
842;нас
843;прикол
844;прошл
845;жен
846;падл
847;пришел
848;трет
849;сосед
850;нам
851;пиздюл
852;гематог
853;чекин
854;ход
855;трен
856;ВОТ
857;СМОТРИ
858;ПОСЛЕ
859;ЭТОГО
860;СЕРИАЛ
861;КОГДА
862;ДРУЖИШЬ
863;ЖАЙКОЙ
864;ТУПАЯ
865;слез
866;наворачива
867;вспоминаеш
868;весел
869;притянут
870;уш
871;потреб
872;пипл
873;Приеха
874;блят
875;Ща
876;сайт
877;при
878;регистрац
879;ввож
880;возраст
881;Чист
882;случайн
883;выбира
884;реальн
885;быс
886;Хан
887;Монта
888;расста
889;ж
890;шлюх
891;ведет
892;кинул
893;позор
894;поч
895;Ди
896;доста
897;высок
898;нот
899;мираклес
900;ин
901;десембер
902;заеба
903;пар
904;идт
905;Хоч
906;блииин
907;собак
908;хрома
909;шок
910;модел
911;снял
912;нов
913;виде
914;Лазарев
915;Где
916;Ужааас
917;опозда
918;минут
919;ест
920;след
921;Елки
922;Палк
923;Версал
924;столкнул
925;перекр
926;проспект
927;наигра
928;Закар
929;Армен
930;зде
931;скук
932;имен
933;осозна
934;Когд
935;науч
936;Ненавиж
937;врут
938;помога
939;Безысходн
940;умер
941;айфон
942;памят
943;фот
944;свитер
945;сто
946;приличн
947;ОТНОШЕНИИ
948;ХОДОРКОВСКОГО
949;РАССЛЕДУЕТСЯ
950;НЕСКОЛЬКО
951;УГОЛОВНЫХ
952;ДЕЛ
953;ТАК
954;ОН
955;ВРЯД
956;ЛИ
957;ПОДПАДЕТ
958;ПОД
959;АМНИСТИЮ
960;ГЕНПРОКУРАТУРА
961;Кто
962;сомнева
963;заряд
964;одинаков
965;фигов
966;держ
967;Довел
968;мак
969;лаион
970;Тер
971;снов
972;постав
973;Надоел
974;болет
975;план
976;поруш
977;отмен
978;каж
979;делен
980;проигра
981;горизонт
982;нигд
983;ча
984;малин
985;Обидн
986;Кеш
987;отстан
988;вадим
989;поед
990;институт
991;габричевск
992;биологическ
993;факультет
994;праст
995;Зашел
996;таск
997;пропа
998;Мног
999;онлайн
1000;пишут
1001;Неужел
1002;карьер
1003;Похож
1004;звезд
1005;Из
1006;погод
1007;меня
1008;ед
1009;родител
1010;пздц
1011;ретвит
1012;ок
1013;оказа
1014;задн
1015;эконометрик
1016;Мда
1017;через
1018;кра
1019;Обычн
1020;шуч
1021;шут
1022;зарежут
1023;вдруг
1024;Если
1025;пошл
1026;капл
1027;назад
1028;писа
1029;микростат
1030;хабр
1031;перевод
1032;программ
1033;помощ
1034;Эвридэ
1035;стор
1036;сенсорн
1037;гаджет
1038;зло
1039;кориц
1040;дефицитн
1041;продукт
1042;Придет
1043;украша
1044;свеч
1045;кофейн
1046;зерн
1047;Ден
1048;супер
1049;во
1050;нит
1051;поигра
1052;основн
1053;закон
1054;спизд
1055;слов
1056;Завтр
1057;обычн
1058;подума
1059;последств
1060;губ
1061;дошел
1062;арсенальн
1063;отвал
1064;правлсав
1065;Бабул
1066;получа
1067;Тимош
1068;заболел
1069;позвон
1070;врач
1071;рожден
1072;вовс
1073;праздничн
1074;Халявн
1075;платн
1076;софт
1077;явн
1078;сдержива
1079;опенсурс
1080;добавля
1081;нехил
1082;головн
1083;админ
1084;сьемк
1085;мег
1086;массовк
1087;Александр
1088;Актер
1089;Оскар
1090;Пап
1091;обед
1092;черт
1093;Автобус
1094;ждал
1095;пробк
1096;везд
1097;Кам
1098;ждет
1099;уйд
1100;арм
1101;Буд
1102;ждат
1103;Слыш
1104;Чег
1105;горлышк
1106;капец
1107;больн
1108;пропуст
1109;вып
1110;немн
1111;коф
1112;За
1113;грустн
1114;ТЫ
1115;НЕ
1116;ЗВОНИШЬ
1117;ДАЖЕ
1118;ВЫПЬЕШЬ
1119;Отпуска
1120;тихонечк
1121;срочн
1122;еха
1123;чутк
1124;поспа
1125;сна
1126;мал
1127;Оо
1128;этот
1129;Уокер
1130;Бел
1131;рыда
1132;захлебыв
1133;складыва
1134;мнен
1135;Могил
1136;перебыва
1137;Кром
1138;клиент
1139;значик
1140;надобн
1141;зрозум
1142;ла
1143;Бобер
1144;де
1145;укр
1146;щас
1147;смог
1148;бырик
1149;центр
1150;муч
1151;внов
1152;возвра
1153;пыта
1154;уйт
1155;реб
1156;нок
1157;уснул
1158;яблок
1159;рук
1160;визуальн
1161;особ
1162;отлича
1163;подав
1164;хват
1165;удален
1166;запуст
1167;торрент
1168;качалк
1169;достуча
1170;Через
1171;дне
1172;сесс
1173;н
1174;закр
1175;Вперв
1176;надел
1177;шпильк
1178;см
1179;бож
1180;надет
1181;позволя
1182;Тип
1183;умн
1184;собира
1185;коробк
1186;вещ
1187;переезжа
1188;Дженнифер
